800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			804.0 Closed fractures involving skull or face with other bones without mention of intracranial injury
			804.00 Closed fractures involving skull or face with other bones, without mention of intracranial injury, unspecified state of consciousness
			804.01 Closed fractures involving skull or face with other bones, without mention of intracranial injury, with no loss of consciousness
			804.02 Closed fractures involving skull or face with other bones, without mention of intracranial injury, with brief [less than one hour] loss of consciousness
			804.03 Closed fractures involving skull or face with other bones, without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness
			804.04 Closed fractures involving skull or face with other bones, without mention or intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			804.05 Closed fractures involving skull of face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			804.06 Closed fractures involving skull of face with other bones, without mention of intracranial injury, with loss of consciousness of unspecified duration
			804.09 Closed fractures involving skull of face with other bones, without mention of intracranial injury, with concussion, unspecified
			804.1 Closed fractures involving skull or face with other bones with cerebral laceration and contusion
			804.10 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, unspecified state of consciousness
			804.11 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with no loss of consciousness
			804.12 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness
			804.13 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness
			804.14 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			804.15 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			804.16 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with loss of consciousness of unspecified duration
			804.19 Closed fractures involving skull or face with other bones, with cerebral laceration and contusion, with concussion, unspecified
			804.2 Closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage
			804.20 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness
			804.21 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness
			804.22 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness
			804.23 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness
			804.24 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level
			804.25 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level
			804.26 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration
			804.29 Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified
			804.3 Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage
			804.30 Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, unspecified state of consciousness
			804.31 Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with no loss of consciousness
			804.32 Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness
			804.33 Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness
